t_i,t_m,t_r,t_p,i_m,i_r,i_p,m_r,m_p,r_p,thumb,index,middle,ring,pinky,label
54.56189146281496,73.43023900274328,92.70382947861431,105.08092119885512,23.0,44.01136216933077,60.40695324215582,21.02379604162864,37.656340767525464,17.88854381999832,106.60675400742676,13.038404810405298,20.09975124224178,23.021728866442675,20.615528128088304,a
54.48853090330111,73.78346698278686,93.94147114027967,105.94810050208545,25.0,48.0,64.4980619863884,23.0,39.81205847478876,17.88854381999832,109.85900054160332,15.033296378372908,22.20360331117452,26.019223662515376,20.248456731316587,a
50.91168824543142,71.34423592694787,91.28526715741155,104.4030650891055,25.019992006393608,47.042533945356304,64.28063471995279,22.02271554554524,39.6232255123179,18.788294228055936,106.25441167311595,12.165525060596439,20.09975124224178,24.0,19.4164878389476,a
54.45181356024793,72.71863585079137,92.61209424259879,104.69479452198185,23.0,45.01110973970759,61.40032573203501,22.02271554554524,38.63935817272331,17.88854381999832,105.39449701004318,18.0,24.08318915758459,27.0,21.633307652783937,a
49.49747468305833,71.56116265125938,92.59049627256569,104.06248123122954,25.317977802344327,47.67598976424087,63.0,22.360679774997898,38.2099463490856,17.88854381999832,108.2266141020775,14.142135623730951,23.0,29.068883707497267,24.20743687382041,a
49.678969393496885,71.61005515987263,92.28217596047462,103.61949623502326,26.30589287593181,48.662100242385755,64.00781202322104,22.360679774997898,38.118237105091836,17.46424919657298,109.65856099730654,15.524174696260024,23.021728866442675,28.160255680657446,23.430749027719962,a
52.49761899362675,71.02816342831905,93.15041599477696,107.15409464878138,24.020824298928627,47.38143096192854,65.00769185258002,23.53720459187964,41.0,18.681541692269406,114.5294721894762,18.110770276274835,22.090722034374522,26.30589287593181,22.02271554554524,a
51.61395160225576,72.00694410957877,93.49331526906082,106.92988356862641,27.073972741361768,49.64876634922564,67.06713054842886,22.80350850198276,40.01249804748511,18.681541692269406,115.3819743287486,21.095023109728988,26.0,31.25699921617557,27.459060435491963,a
55.80322571321482,74.81310045707235,96.04165762834376,108.74741376235114,26.019223662515376,49.25444142409901,66.0,23.345235059857504,40.01249804748511,17.72004514666935,116.72617529928752,25.019992006393608,29.0,33.13608305156178,28.30194339616981,a
56.22277118748239,75.45197147855052,95.88013350011565,110.57124400132251,27.018512172212592,48.16637831516918,66.007575322837,21.587033144922902,39.05124837953327,18.24828759089466,119.95415791042844,23.0,26.076809620810597,31.064449134018133,26.832815729997478,a
57.28001396647874,76.55063683601855,97.06183596038146,111.42710621747295,24.020824298928627,46.17358552246078,64.00781202322104,22.20360331117452,40.049968789001575,18.681541692269406,117.99152511939153,19.1049731745428,24.08318915758459,27.073972741361768,21.633307652783937,a
50.20956084253277,72.20110802473879,93.47192091746055,111.32834320154055,27.018512172212592,49.25444142409901,70.00714249274856,22.360679774997898,43.0,21.37755832643195,112.60550608207397,13.038404810405298,18.027756377319946,23.194827009486403,20.248456731316587,a
56.586217403180434,77.69813382572325,98.8382517044894,115.52056094046635,27.0,49.16299421312742,69.0,22.360679774997898,42.0,20.396078054371138,114.82595525402782,16.0312195418814,20.09975124224178,25.019992006393608,20.12461179749811,a
